season,team,Games,PTS_per_game,FGA_per_game,FG3A_per_game,pct_3PA,FTA_per_game,pct_FTA,FG_pct,FG3_pct,FT_pct,eFG_pct,TS_pct,REB_per_game,OREB_per_game,DREB_per_game,AST_per_game,TOV_per_game,AST_to_TOV,STL_per_game,BLK_per_game,pace_proxy,cluster,pc1,pc2
1960-1961,LAL,28,118.60714285714286,3.4642857142857144,0.0,0.0,28.75,8.29896907216495,12.515463917525773,0.0,0.9925465838509316,12.515463917525773,3.680186170212766,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.4642857142857144,1,-7.3537934396759,7.65741302016633
1960-1961,NYK,10,116.1,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.9471947194719472,0.0,4.354185418541855,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7518364501473003,-2.108928563311743
1961-1962,ATL,50,120.04,45.88,0.0,0.0,25.76,0.5614646904969486,1.004359197907585,0.0,1.0822981366459627,1.004359197907585,1.0490366061690761,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,45.88,0,-1.584938023402277,-0.4955029896818365
1961-1962,BOS,55,117.58181818181818,1.709090909090909,0.0,0.0,15.090909090909092,8.829787234042554,27.47872340425532,0.0,1.5674698795180724,27.47872340425532,7.041594076655053,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.709090909090909,1,-11.421969734456818,15.631707638349981
1961-1962,GSW,29,127.10344827586206,11.03448275862069,0.0,0.0,17.689655172413794,1.603125,4.53125,0.0,1.5321637426900585,4.53125,3.3771897676464118,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.03448275862069,0,-3.770835030200858,1.3358772181361653
1961-1962,LAL,26,117.6923076923077,0.0,0.0,0.0,25.192307692307693,0.0,0.0,0.0,1.1083969465648855,0.0,5.3088133240805,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.7561610973153434,-1.9647164497298024
1961-1962,NYK,9,109.22222222222223,0.0,0.0,0.0,19.22222222222222,0.0,0.0,0.0,1.323699421965318,0.0,6.45691014188124,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.78381042836374,-1.9507775169670363
1962-1963,ATL,64,110.34375,4.671875,0.0,0.0,2.34375,0.5016722408026756,9.090301003344482,0.0,10.68,9.090301003344482,9.673972602739726,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.671875,0,-5.417343783588306,3.399217333643348
1962-1963,BOS,44,118.63636363636364,3.0,0.0,0.0,0.8181818181818182,0.2727272727272727,15.803030303030303,0.0,29.11111111111111,15.803030303030303,17.65422077922078,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1,-8.556375424494606,6.465616344380164
1962-1963,GSW,32,119.1875,9.625,0.0,0.0,6.34375,0.6590909090909091,5.058441558441558,0.0,3.438423645320197,5.058441558441558,4.799657706634451,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.625,0,-3.7797460702210457,1.4217940654412986
1962-1963,LAL,20,119.6,0.0,0.0,0.0,3.35,0.0,0.0,0.0,8.26865671641791,0.0,40.56987788331072,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-5.684063377115648,-2.7618779633150745
1962-1963,NYK,9,102.0,0.0,0.0,0.0,5.888888888888889,0.0,0.0,0.0,4.188679245283019,0.0,19.682675814751285,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-3.7852515947872982,-2.136136472707328
