team,metric,yoy_delta,slope,first_value,last_value,seasons_count
DEN,pace_proxy,88.51807228915662,0.19513378188077685,0.0,88.51807228915662,49
DEN,REB_per_game,0.0,0.0,0.0,0.0,49
DEN,OREB_per_game,0.0,0.0,0.0,0.0,49
DEN,AST_to_TOV,0.0,0.0,0.0,0.0,49
DEN,STL_per_game,0.0,0.0,0.0,0.0,49
DEN,BLK_per_game,0.0,0.0,0.0,0.0,49
IND,TS_pct,-3.7891044158639273,0.006417646003424197,4.379405385866619,0.5903009700026917,49
IND,eFG_pct,0.558619733924612,0.007156562276711707,0.0,0.558619733924612,49
IND,pace_proxy,88.0,-0.3963025210083974,0.0,88.0,49
IND,REB_per_game,0.0,0.0,0.0,0.0,49
IND,OREB_per_game,0.0,0.0,0.0,0.0,49
IND,AST_to_TOV,0.0,0.0,0.0,0.0,49
IND,STL_per_game,0.0,0.0,0.0,0.0,49
IND,BLK_per_game,0.0,0.0,0.0,0.0,49
SAS,TS_pct,-3.6497755757795245,0.01066733214158083,4.242734724292101,0.592959148512577,49
SAS,eFG_pct,0.5581457663451233,0.01089896151700383,0.0,0.5581457663451233,49
SAS,pace_proxy,88.85714285714286,-0.789069264069258,0.0,88.85714285714286,49
SAS,REB_per_game,0.0,0.0,0.0,0.0,49
SAS,OREB_per_game,0.0,0.0,0.0,0.0,49
SAS,AST_to_TOV,0.0,0.0,0.0,0.0,49
SAS,STL_per_game,0.0,0.0,0.0,0.0,49
SAS,BLK_per_game,0.0,0.0,0.0,0.0,49
LAC,TS_pct,-3.6680685720466775,0.0015864546554777495,4.256606133101348,0.588537561054671,47
LAC,eFG_pct,0.5532963647566236,0.0014988560891941718,0.0,0.5532963647566236,47
LAC,pace_proxy,85.42105263157895,-0.21761503149353847,0.0,85.42105263157895,47
LAC,REB_per_game,0.0,0.0,0.0,0.0,47
LAC,OREB_per_game,0.0,0.0,0.0,0.0,47
LAC,AST_to_TOV,0.0,0.0,0.0,0.0,47
LAC,STL_per_game,0.0,0.0,0.0,0.0,47
